"filename", "language", "XML", "C#", "JSON", "ApexLog", "TypeScript JSX", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", 21, 0, 0, 0, 0, 0, 0, 21
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level0.json", "JSON", 0, 0, 275, 0, 0, 0, 0, 275
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 17, 0, 0, 0, 3, 1, 21
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ButterflyController.cs", "C#", 0, -1, 0, 0, 0, -6, -1, -8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectableController.cs", "C#", 0, 80, 0, 0, 0, 93, 32, 205
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ControllerController.cs", "C#", 0, 58, 0, 0, 0, 21, 11, 90
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DefenderController.cs", "C#", 0, 3, 0, 0, 0, 7, 4, 14
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DewController.cs", "C#", 0, 60, 0, 0, 0, 57, 17, 134
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EconomyController.cs", "C#", 0, -31, 0, 0, 0, 1, -6, -36
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyController.cs", "C#", 0, -5, 0, 0, 0, -6, 7, -4
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyManager.cs", "C#", 0, -78, 0, 0, 0, -48, -20, -146
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/HazardController.cs", "C#", 0, 7, 0, 0, 0, 7, 2, 16
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/InputController.cs", "C#", 0, 24, 0, 0, 0, 11, 5, 40
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KudzuController.cs", "C#", 0, 53, 0, 0, 0, 13, 10, 76
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/LevelController.cs", "C#", 0, 8, 0, 0, 0, -1, 1, 8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MobController.cs", "C#", 0, 34, 0, 0, 0, 33, 14, 81
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ModelController.cs", "C#", 0, 38, 0, 0, 0, 33, 12, 83
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/NexusController.cs", "C#", 0, 55, 0, 0, 0, 65, 16, 136
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/NexusHoleController.cs", "C#", 0, 42, 0, 0, 0, 61, 18, 121
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/PlaceableObjectController.cs", "C#", 0, -20, 0, 0, 0, -31, -8, -59
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ProjectileController.cs", "C#", 0, -1, 0, 0, 0, -4, -1, -6
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ShopBoatController.cs", "C#", 0, 41, 0, 0, 0, 65, 17, 123
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SkillMenuController.cs", "C#", 0, 62, 0, 0, 0, 60, 20, 142
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SkillSlotController.cs", "C#", 0, 20, 0, 0, 0, 18, 5, 43
