"filename", "language", "XML", "JSON", "C#", "ApexLog", "ShaderLab", "HLSL", "TypeScript JSX", "HTML", "Ini", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", 923, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 925
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level0.json", "JSON", 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_easy.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_hard.json", "JSON", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_medium.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/AcornController.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 56, 16, 124
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 0, 70, 0, 0, 0, 0, 0, 0, 52, 19, 141
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BombController.cs", "C#", 0, 0, 99, 0, 0, 0, 0, 0, 0, 70, 27, 196
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ButterflyController.cs", "C#", 0, 0, 207, 0, 0, 0, 0, 0, 0, 102, 45, 354
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectableController.cs", "C#", 0, 0, 80, 0, 0, 0, 0, 0, 0, 93, 32, 205
