"filename", "language", "JSON", "XML", "C#", "UnityShader", "ApexLog", "TypeScript JSX", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", 0, 931, 0, 0, 0, 0, 1, 1, 933
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level0.json", "JSON", 284, 0, 0, 0, 0, 0, 0, 0, 284
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level1.json", "JSON", 952, 0, 0, 0, 0, 0, 0, 0, 952
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level2.json", "JSON", 1888, 0, 0, 0, 0, 0, 0, 2, 1890
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level3.json", "JSON", 5140, 0, 0, 0, 0, 0, 0, 9, 5149
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level4.json", "JSON", 1078, 0, 0, 0, 0, 0, 0, 0, 1078
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_easy.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 44
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_hard.json", "JSON", 148, 0, 0, 0, 0, 0, 0, 0, 148
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_medium.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/AcornController.cs", "C#", 0, 0, 51, 0, 0, 0, 60, 18, 129
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 0, 59, 0, 0, 0, 56, 19, 134
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeSeedController.cs", "C#", 0, 0, 73, 0, 0, 0, 60, 23, 156
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BearController.cs", "C#", 0, 0, 139, 0, 0, 0, 84, 33, 256
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectableController.cs", "C#", 0, 0, 116, 0, 0, 0, 134, 44, 294
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectionMenuController.cs", "C#", 0, 0, 63, 0, 0, 0, 60, 20, 143
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ControllerController.cs", "C#", 0, 0, 280, 0, 0, 0, 136, 65, 481
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DefenderController.cs", "C#", 0, 0, 60, 0, 0, 0, 65, 30, 155
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DewController.cs", "C#", 0, 0, 69, 0, 0, 0, 61, 19, 149
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EconomyController.cs", "C#", 0, 0, 73, 0, 0, 0, 76, 25, 174
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EmanationController.cs", "C#", 0, 0, 84, 0, 0, 0, 97, 30, 211
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyController.cs", "C#", 0, 0, 229, 0, 0, 0, 160, 60, 449
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/FlooringController.cs", "C#", 0, 0, 18, 0, 0, 0, 34, 8, 60
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/HazardController.cs", "C#", 0, 0, 27, 0, 0, 0, 33, 9, 69
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/InputController.cs", "C#", 0, 0, 210, 0, 0, 0, 153, 64, 427
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/InventoryController.cs", "C#", 0, 0, 86, 0, 0, 0, 80, 25, 191
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/JSONController.cs", "C#", 0, 0, 49, 0, 0, 0, 39, 14, 102
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KnotwoodController.cs", "C#", 0, 0, 219, 0, 0, 0, 77, 67, 363
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KudzuController.cs", "C#", 0, 0, 246, 0, 0, 0, 92, 84, 422
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/LevelController.cs", "C#", 0, 0, 110, 0, 0, 0, 88, 41, 239
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MainMenuController.cs", "C#", 0, 0, 56, 0, 0, 0, 49, 15, 120
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MobController.cs", "C#", 0, 0, 235, 0, 0, 0, 236, 78, 549
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ModelController.cs", "C#", 0, 0, 189, 0, 0, 0, 202, 68, 459
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/NexusController.cs", "C#", 0, 0, 80, 0, 0, 0, 72, 24, 176
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/NexusHoleController.cs", "C#", 0, 0, 43, 0, 0, 0, 64, 16, 123
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/PlacementController.cs", "C#", 0, 0, 226, 0, 0, 0, 147, 66, 439
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ProjectileController.cs", "C#", 0, 0, 91, 0, 0, 0, 145, 44, 280
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SettingsController.cs", "C#", 0, 0, 32, 0, 0, 0, 27, 14, 73
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SkillSlotController.cs", "C#", 0, 0, 20, 0, 0, 0, 18, 5, 43
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SoundController.cs", "C#", 0, 0, 56, 0, 0, 0, 36, 14, 106
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SquirrelController.cs", "C#", 0, 0, 149, 0, 0, 0, 91, 36, 276
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/StructureController.cs", "C#", 0, 0, 8, 0, 0, 0, 11, 2, 21
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/SynergyController.cs", "C#", 0, 0, 71, 0, 0, 0, 55, 20, 146
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/TreeController.cs", "C#", 0, 0, 24, 0, 0, 0, 30, 9, 63
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/WallController.cs", "C#", 0, 0, 43, 0, 0, 0, 60, 18, 121
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/DamageOverTime.cs", "C#", 0, 0, 50, 0, 0, 0, 53, 20, 123
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/DefenderAnimationSet.cs", "C#", 0, 0, 90, 0, 0, 0, 103, 33, 226
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/Direction.cs", "C#", 0, 0, 7, 0, 0, 0, 4, 2, 13
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/EnemyAnimationSet.cs", "C#", 0, 0, 234, 0, 0, 0, 184, 61, 479
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/ModelCounts.cs", "C#", 0, 0, 24, 0, 0, 0, 29, 8, 61
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/ModelType.cs", "C#", 0, 0, 28, 0, 0, 0, 3, 2, 33
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/ObjectPool.cs", "C#", 0, 0, 52, 0, 0, 0, 45, 16, 113
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/PathfindingCache.cs", "C#", 0, 0, 36, 0, 0, 0, 44, 9, 89
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/DataStructures/SortingLayers.cs", "C#", 0, 0, 16, 0, 0, 0, 4, 3, 23
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/AcornFactory.cs", "C#", 0, 0, 30, 0, 0, 0, 31, 12, 73
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/BasicTreeFactory.cs", "C#", 0, 0, 35, 0, 0, 0, 39, 12, 86
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/BasicTreeSeedFactory.cs", "C#", 0, 0, 35, 0, 0, 0, 39, 12, 86
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/DefenderFactory.cs", "C#", 0, 0, 72, 0, 0, 0, 47, 16, 135
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/DewFactory.cs", "C#", 0, 0, 29, 0, 0, 0, 31, 10, 70
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/EdgeFactory.cs", "C#", 0, 0, 30, 0, 0, 0, 30, 10, 70
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/EmanationFactory.cs", "C#", 0, 0, 41, 0, 0, 0, 25, 10, 76
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/EnemyFactory.cs", "C#", 0, 0, 75, 0, 0, 0, 84, 24, 183
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/Factory.cs", "C#", 0, 0, 44, 0, 0, 0, 36, 13, 93
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/FlooringFactory.cs", "C#", 0, 0, 50, 0, 0, 0, 44, 13, 107
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/NexusFactory.cs", "C#", 0, 0, 30, 0, 0, 0, 34, 11, 75
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/NexusHoleFactory.cs", "C#", 0, 0, 31, 0, 0, 0, 36, 11, 78
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/ShopFactory.cs", "C#", 0, 0, 28, 0, 0, 0, 27, 9, 64
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/TileFactory.cs", "C#", 0, 0, 32, 0, 0, 0, 32, 10, 74
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Factories/WallFactory.cs", "C#", 0, 0, 50, 0, 0, 0, 44, 14, 108
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/IStateTracker.cs", "C#", 0, 0, 11, 0, 0, 0, 26, 5, 42
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Interfaces/ISurface.cs", "C#", 0, 0, 24, 0, 0, 0, 106, 20, 150
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/LayerData.cs", "C#", 0, 0, 92, 0, 0, 0, 91, 25, 208
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/ObjectData.cs", "C#", 0, 0, 124, 0, 0, 0, 101, 31, 256
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Loading/PropertiesData.cs", "C#", 0, 0, 19, 0, 0, 0, 18, 5, 42
